City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Katobu,ID,75.67,overcast clouds,-4.9408,122.5276,La Ode Husein
596,Bilma,NE,77.94,clear sky,18.6853,12.9164,Expeditions Ténére voyages
597,Belmonte,BR,82.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
598,Gilbues,BR,86.4,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
600,Rio Grande,BR,75.31,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
602,Gizo,SB,82.72,light rain,-8.103,156.8419,Imagination Island
605,Diamantino,BR,82.2,overcast clouds,-14.4086,-56.4461,Hotel Delta
610,Nata,PA,78.67,broken clouds,8.3333,-80.5167,Rey David
614,California City,US,76.06,clear sky,35.1258,-117.9859,Best Western California City Inn & Suites
615,Katherine,AU,84.52,clear sky,-14.4667,132.2667,Pine Tree Motel
616,Axim,GH,80.38,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
623,Pundaguitan,PH,81.97,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
625,Roebourne,AU,84.99,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
626,Banda Aceh,ID,76.98,overcast clouds,5.5577,95.3222,Sulthan Hotel International
627,Kudahuvadhoo,MV,82.35,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
635,Lagoa Vermelha,BR,75.31,clear sky,-28.2086,-51.5258,Hotel Kaianã
640,Santa Maria,BR,79.9,scattered clouds,-29.6842,-53.8069,Hotel Morotin
641,Mahibadhoo,MV,82.11,clear sky,3.7833,72.9667,Omadhoo Inn
648,Banjar,ID,78.66,moderate rain,-8.19,114.9675,The Hamsa Resort
649,Morondava,MG,77.97,clear sky,-20.2833,44.2833,La Case Bambou
652,Sapele,NG,81.28,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
662,Kimberley,ZA,83.89,clear sky,-28.7323,24.7623,Welgewandel Guesthouse
665,Mayumba,GA,77.34,overcast clouds,-3.432,10.6554,LIKWALE LODGE
668,Honiara,SB,78.39,broken clouds,-9.4333,159.95,Heritage Park Hotel
