City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Luanda,AO,-8.8368,13.2343,82.4,69,20,8.05,few clouds
293,Rawson,AR,-43.3002,-65.1023,81.14,22,0,7.29,clear sky
294,Fortuna,US,40.5982,-124.1573,48.33,100,1,11.5,clear sky
295,Naze,JP,28.3667,129.4833,59.49,71,98,26.42,overcast clouds
296,Ginda,IN,30.6945,78.4932,47.95,20,46,6.69,scattered clouds
297,Larsnes,NO,62.2028,5.5773,33.62,90,100,1.5,light snow
298,Caravelas,BR,-17.7125,-39.2481,78.98,85,93,12.66,overcast clouds
299,Matara,LK,5.9485,80.5353,76.78,88,19,2.73,few clouds
300,Bambanglipuro,ID,-7.95,110.2833,76.95,87,100,3.02,overcast clouds
301,Palo Alto,US,37.4419,-122.143,68.11,81,90,0.0,fog
302,Aksu,CN,41.1231,80.2644,27.07,46,47,0.96,scattered clouds
303,Lorengau,PG,-2.0226,147.2712,82.6,71,97,9.89,overcast clouds
304,Dunedin,NZ,-45.8742,170.5036,51.69,91,100,8.77,overcast clouds
305,Nenjiang,CN,49.1833,125.2167,-0.71,96,22,5.1,few clouds
306,Roblin,CA,51.23,-101.3565,21.31,82,100,7.61,overcast clouds
307,Zandvoort,NL,52.3749,4.5341,51.98,93,75,2.3,broken clouds
308,Portland,US,45.5234,-122.6762,56.35,92,90,5.01,overcast clouds
309,Mouila,GA,-1.8685,11.0559,76.89,92,87,2.39,moderate rain
310,Srandakan,ID,-7.9386,110.2506,77.11,87,100,3.2,overcast clouds
311,Quatre Cocos,MU,-20.2078,57.7625,77.11,70,9,9.51,clear sky
312,Ilo,PE,-17.6394,-71.3375,72.46,68,0,6.91,clear sky
313,Touros,BR,-5.1989,-35.4608,88.7,62,54,12.97,broken clouds
314,Guanambi,BR,-14.2233,-42.7814,90.41,40,96,6.8,overcast clouds
315,Tura,IN,25.5198,90.2201,61.75,68,36,3.74,scattered clouds
316,Prabumulih,ID,-3.45,104.25,74.43,85,100,1.34,overcast clouds
317,Khvorostyanka,RU,52.6096,48.9597,43.05,95,83,14.52,broken clouds
318,Manicore,BR,-5.8092,-61.3003,92.93,46,88,5.01,overcast clouds
319,Hurghada,EG,27.2574,33.8129,75.24,57,0,0.0,clear sky
320,Meteti,PA,8.4983,-77.9786,84.6,74,100,0.69,overcast clouds
321,Usinsk,RU,65.9939,57.5281,10.0,72,86,27.25,overcast clouds
322,Soyo,AO,-6.1349,12.3689,82.45,82,89,7.16,overcast clouds
323,Souillac,MU,-20.5167,57.5167,77.38,73,20,2.3,few clouds
324,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.39,80,90,14.97,light snow
325,Mejorada Del Campo,ES,40.3928,-3.4819,53.44,63,0,4.61,clear sky
326,Sugal,PH,5.6622,125.4617,79.05,84,100,8.66,overcast clouds
327,Warragul,AU,-38.1667,145.9333,66.11,85,2,3.0,clear sky
328,Yurimaguas,PE,-5.9,-76.0833,77.16,66,75,5.75,broken clouds
329,Alipur,PK,29.3846,70.9116,68.49,26,9,5.06,clear sky
330,Nelson Bay,AU,-32.7167,152.15,68.05,95,100,10.0,light rain
331,Saint Anthony,US,45.0205,-93.218,43.14,62,1,3.0,clear sky
332,Ahipara,NZ,-35.1667,173.1667,58.86,92,86,2.93,light rain
333,Umuahia,NG,5.5263,7.4896,84.49,55,44,2.53,scattered clouds
334,Banapur,IN,19.7833,85.1833,71.56,57,17,3.98,few clouds
